Town,Pop
Andover,"3,150"
Ansonia,"18,923"
Ashford,"4,222"
Avon,"18,871"
Barkhamsted,"3,667"
Beacon Falls,"6,126"
Berlin,"20,197"
Bethany,"5,277"
Bethel,"20,684"
Bethlehem,"3,409"
Bloomfield,"21,560"
Bolton,"4,834"
Bozrah,"2,420"
Branford,"28,148"
Bridgeport,"148,377"
Bridgewater,"1,652"
Bristol,"61,330"
Brookfield,"17,543"
Brooklyn,"8,502"
Burlington,"9,710"
Canaan,"1,081"
Canterbury,"5,102"
Canton,"10,091"
Chaplin,"2,156"
Cheshire,"28,994"
Chester,"3,757"
Clinton,"13,399"
Colchester,"15,572"
Colebrook,"1,369"
Columbia,"5,258"
Cornwall,"1,573"
Coventry,"12,285"
Cromwell,"14,317"
Danbury,"86,967"
Darien,"21,926"
Deep River,"4,445"
Derby,"12,358"
Durham,"7,207"
East Granby,"5,218"
East Haddam,"8,949"
East Hampton,"12,960"
East Hartford,"50,718"
East Haven,"27,682"
East Lyme,"18,788"
East Windsor,"11,176"
Eastford,"1,675"
Easton,"7,630"
Ellington,"16,977"
Enfield,"41,245"
Essex,"6,793"
Fairfield,"62,871"
Farmington,"26,728"
Franklin,"1,881"
Glastonbury,"35,199"
Goshen,"3,203"
Granby,"11,041"
Greenwich,"63,638"
Griswold,"11,509"
Groton,"37,743"
Guilford,"22,019"
Haddam,"8,670"
Hamden,"60,809"
Hampton,"1,738"
Hartford,"120,686"
Hartland,"1,908"
Harwinton,"5,562"
Hebron,"9,121"
Kent,"3,051"
Killingly,"17,837"
Killingworth,"6,239"
Lebanon,"7,132"
Ledyard,"15,456"
Lisbon,"4,242"
Litchfield,"8,279"
Lyme,"2,401"
Madison,"17,565"
Manchester,"59,461"
Mansfield,"31,949"
Marlborough,"6,109"
Meriden,"60,242"
Middlebury,"7,807"
Middlefield,"4,248"
Middletown,"48,729"
Milford,"52,679"
Monroe,"18,796"
Montville,"17,891"
Morris,"2,267"
Naugatuck,"31,705"
New Britain,"74,396"
New Canaan,"20,775"
New Fairfield,"13,536"
New Hartford,"6,698"
New Haven,"138,915"
New London,"27,980"
New Milford,"28,275"
Newington,"30,356"
Newtown,"27,577"
Norfolk,"1,594"
North Branford,"13,464"
North Canaan,"3,209"
North Haven,"24,114"
North Stonington,"5,174"
Norwalk,"91,401"
Norwich,"40,009"
Old Lyme,"7,684"
Old Saybrook,"10,535"
Orange,"14,258"
Oxford,"12,941"
Plainfield,"15,143"
Plainville,"17,479"
Plymouth,"11,711"
Pomfret,"4,307"
Portland,"9,429"
Preston,"4,840"
Prospect,"9,435"
Putnam,"9,302"
Redding,"8,746"
Ridgefield,"25,007"
Rocky Hill,"20,712"
Roxbury,"2,279"
Salem,"4,326"
Salisbury,"4,239"
Scotland,"1,577"
Seymour,"16,809"
Sharon,"2,724"
Shelton,"41,897"
Sherman,"3,537"
Simsbury,"24,935"
Somers,"9,843"
South Windsor,"26,783"
Southbury,"19,979"
Southington,"43,753"
Sprague,"2,958"
Stafford,"11,449"
Stamford,"136,188"
Sterling,"3,623"
Stonington,"18,480"
Stratford,"52,477"
Suffield,"15,731"
Thomaston,"7,468"
Thompson,"9,315"
Tolland,"14,577"
Torrington,"35,563"
Trumbull,"37,135"
Union,793
Vernon,"30,625"
Voluntown,"2,592"
Wallingford,"44,017"
Warren,"1,352"
Washington,"3,666"
Waterbury,"115,016"
Waterford,"19,603"
Watertown,"22,183"
West Hartford,"64,271"
West Haven,"55,004"
Westbrook,"6,860"
Weston,"10,354"
Westport,"27,427"
Wethersfield,"27,129"
Willington,"5,544"
Wilton,"18,457"
Winchester,"10,240"
Windham,"24,399"
Windsor,"29,453"
Windsor Locks,"12,537"
Wolcott,"16,190"
Woodbridge,"9,051"
Woodbury,"9,802"
Woodstock,"8,312"
