Town,Pop,,
Andover,"3,144",,
Ansonia,"19,008",,
Ashford,"4,229",,
Avon,"18,883",,
Barkhamsted,"3,677",,
Beacon Falls,"6,206",,
Berlin,"20,429",,
Bethany,"5,271",,
Bethel,"20,678",,
Bethlehem,"3,421",,
Bloomfield,"21,884",,
Bolton,"4,834",,
Bozrah,"2,412",,
Branford,"28,031",,
Bridgeport,"148,028",,
Bridgewater,"1,646",,
Bristol,"61,601",,
Brookfield,"17,489",,
Brooklyn,"8,612",,
Burlington,"9,746",,
Canaan,"1,082",,
Canterbury,"5,140",,
Canton,"10,146",,
Chaplin,"2,157",,
Cheshire,"29,200",,
Chester,"3,761",,
Clinton,"13,402",,
Colchester,"15,504",,
Colebrook,"1,368",,
Columbia,"5,268",,
Cornwall,"1,575",,
Coventry,"12,308",,
Cromwell,"14,363",,
Danbury,"86,124",,
Darien,"22,020",,
Deep River,"4,454",,
Derby,"12,406",,
Durham,"7,204",,
East Granby,"5,218",,
East Haddam,"8,987",,
East Hampton,"12,989",,
East Hartford,"50,654",,
East Haven,"27,533",,
East Lyme,"18,929",,
East Windsor,"11,170",,
Eastford,"1,689",,
Easton,"7,636",,
Ellington,"16,994",,
Enfield,"40,792",,
Essex,"6,802",,
Fairfield,"63,433",,
Farmington,"26,798",,
Franklin,"1,891",,
Glastonbury,"35,204",,
Goshen,"3,232",,
Granby,"11,249",,
Greenwich,"63,574",,
Griswold,"11,624",,
Groton,"37,878",,
Guilford,"22,020",,
Haddam,"8,773",,
Hamden,"60,014",,
Hampton,"1,740",,
Hartford,"119,669",,
Hartland,"1,912",,
Harwinton,"5,612",,
Hebron,"9,146",,
Kent,"3,066",,
Killingly,"17,945",,
Killingworth,"6,254",,
Lebanon,"7,108",,
Ledyard,"15,459",,
Lisbon,"4,228",,
Litchfield,"8,293",,
Lyme,"2,409",,
Madison,"17,498",,
Manchester,"59,408",,
Mansfield,"25,401",,
Marlborough,"6,106",,
Meriden,"60,111",,
Middlebury,"7,936",,
Middlefield,"4,257",,
Middletown,"47,984",,
Milford,"52,793",,
Monroe,"18,831",,
Montville,"17,814",,
Morris,"2,272",,
Naugatuck,"31,820",,
New Britain,"74,080",,
New Canaan,"20,862",,
New Fairfield,"13,487",,
New Hartford,"6,709",,
New Haven,"135,319",,
New London,"27,560",,
New Milford,"28,276",,
Newington,"31,227",,
Newtown,"27,673",,
Norfolk,"1,596",,
North Branford,"13,415",,
North Canaan,"3,204",,
North Haven,"24,295",,
North Stonington,"5,165",,
Norwalk,"92,458",,
Norwich,"39,881",,
Old Lyme,"7,696",,
Old Saybrook,"10,571",,
Orange,"14,322",,
Oxford,"13,125",,
Plainfield,"15,193",,
Plainville,"17,491",,
Plymouth,"11,766",,
Pomfret,"4,313",,
Portland,"9,428",,
Preston,"4,829",,
Prospect,"9,479",,
Putnam,"9,312",,
Redding,"8,719",,
Ridgefield,"24,931",,
Rocky Hill,"20,708",,
Roxbury,"2,297",,
Salem,"4,319",,
Salisbury,"4,240",,
Scotland,"1,578",,
Seymour,"16,953",,
Sharon,"2,744",,
Shelton,"42,144",,
Sherman,"3,530",,
Simsbury,"24,953",,
Somers,"10,725",,
South Windsor,"26,773",,
Southbury,"20,127",,
Southington,"43,743",,
Sprague,"2,940",,
Stafford,"11,567",,
Stamford,"136,226",,
Sterling,"3,644",,
Stonington,"18,431",,
Stratford,"52,454",,
Suffield,"15,650",,
Thomaston,"7,501",,
Thompson,"9,385",,
Tolland,"14,574",,
Torrington,"35,550",,
Trumbull,"37,269",,
Union,797,,
Vernon,"30,596",,
Voluntown,"2,612",,
Wallingford,"43,725",,
Warren,"1,367",,
Washington,"3,685",,
Waterbury,"114,990",,
Waterford,"19,829",,
Watertown,"22,274",,
West Hartford,"63,969",,
West Haven,"54,790",,
Westbrook,"6,881",,
Weston,"10,344",,
Westport,"27,470",,
Wethersfield,"27,114",,
Willington,"5,552",,
Wilton,"18,400",,
Winchester,"10,236",,
Windham,"23,833",,
Windsor,"29,372",,
Windsor Locks,"12,529",,
Wolcott,"16,309",,
Woodbridge,"9,021",,
Woodbury,"9,862",,
Woodstock,"8,346",,
