"","Town","Pop"
"1","Andover",3236
"2","Ansonia",18654
"3","Ashford",4255
"4","Avon",18276
"5","Barkhamsted",3606
"6","Beacon Falls",6222
"7","Berlin",20436
"8","Bethany",5548
"9","Bethel",19800
"10","Bethlehem",3402
"11","Bloomfield",21211
"12","Bolton",4884
"13","Bozrah",2726
"14","Branford",27900
"15","Bridgeport",144399
"16","Bridgewater",1635
"17","Bristol",59947
"18","Brookfield",16973
"19","Brooklyn",8272
"20","Burlington",9704
"21","Canaan",1053
"22","Canterbury",5079
"23","Canton",10254
"24","Chaplin",2239
"25","Cheshire",28937
"26","Chester",4213
"27","Clinton",12925
"28","Colchester",15809
"29","Colebrook",1400
"30","Columbia",5379
"31","Cornwall",1362
"32","Coventry",12407
"33","Cromwell",13839
"34","Danbury",84694
"35","Darien",21728
"36","Deep River",4443
"37","Derby",12339
"38","Durham",7165
"39","Eastford",1790
"40","East Granby",5140
"41","East Haddam",8997
"42","East Hampton",12800
"43","East Hartford",49872
"44","East Haven",28569
"45","East Lyme",18462
"46","Easton",7521
"47","East Windsor",11668
"48","Ellington",16467
"49","Enfield",43659
"50","Essex",6668
"51","Fairfield",62045
"52","Farmington",25497
"53","Franklin",1920
"54","Glastonbury",34482
"55","Goshen",2863
"56","Granby",11507
"57","Greenwich",62840
"58","Griswold",11534
"59","Groton",38436
"60","Guilford",22133
"61","Haddam",8193
"62","Hamden",60556
"63","Hampton",1842
"64","Hartford",122105
"65","Hartland",2120
"66","Harwinton",5420
"67","Hebron",9504
"68","Kent",2777
"69","Killingly",17336
"70","Killingworth",6364
"71","Lebanon",7144
"72","Ledyard",14621
"73","Lisbon",4220
"74","Litchfield",8094
"75","Lyme",2316
"76","Madison",18030
"77","Manchester",57584
"78","Mansfield",25487
"79","Marlborough",6335
"80","Meriden",59395
"81","Middlebury",7798
"82","Middlefield",4374
"83","Middletown",46258
"84","Milford",54747
"85","Monroe",19434
"86","Montville",18508
"87","Morris",2254
"88","Naugatuck",31108
"89","New Britain",72495
"90","New Canaan",20233
"91","New Fairfield",13878
"92","New Hartford",6656
"93","New Haven",130250
"94","Newington",30014
"95","New London",26858
"96","New Milford",26805
"97","Newtown",27891
"98","Norfolk",1630
"99","North Branford",14146
"100","North Canaan",3251
"101","North Haven",23683
"102","North Stonington",5196
"103","Norwalk",88816
"104","Norwich",38768
"105","Old Lyme",7306
"106","Old Saybrook",10061
"107","Orange",13926
"108","Oxford",13255
"109","Plainfield",15125
"110","Plainville",17534
"111","Plymouth",11598
"112","Pomfret",4203
"113","Portland",9267
"114","Preston",4625
"115","Prospect",9702
"116","Putnam",9389
"117","Redding",9116
"118","Ridgefield",24959
"119","Rocky Hill",20115
"120","Roxbury",2152
"121","Salem",4083
"122","Salisbury",3600
"123","Scotland",1672
"124","Seymour",16437
"125","Sharon",2689
"126","Shelton",41129
"127","Sherman",3630
"128","Simsbury",25395
"129","Somers",10784
"130","Southbury",19571
"131","Southington",43834
"132","South Windsor",26162
"133","Sprague",2859
"134","Stafford",11893
"135","Stamford",129638
"136","Sterling",3782
"137","Stonington",18559
"138","Stratford",51849
"139","Suffield",15814
"140","Thomaston",7535
"141","Thompson",9379
"142","Tolland",14618
"143","Torrington",34044
"144","Trumbull",35673
"145","Union",839
"146","Vernon",29359
"147","Voluntown",2510
"148","Wallingford",44326
"149","Warren",1395
"150","Washington",3428
"151","Waterbury",107568
"152","Waterford",18746
"153","Watertown",21578
"154","Westbrook",6869
"155","West Hartford",62965
"156","West Haven",54620
"157","Weston",10252
"158","Westport",28491
"159","Wethersfield",26008
"160","Willington",5864
"161","Wilton",18343
"162","Winchester",10604
"163","Windham",24561
"164","Windsor",28733
"165","Windsor Locks",12854
"166","Wolcott",16587
"167","Woodbridge",8750
"168","Woodbury",9502
"169","Woodstock",7858
