"","ï..Town","Pop"
"1","Andover",3150
"2","Ansonia",18923
"3","Ashford",4222
"4","Avon",18871
"5","Barkhamsted",3667
"6","Beacon Falls",6126
"7","Berlin",20197
"8","Bethany",5277
"9","Bethel",20684
"10","Bethlehem",3409
"11","Bloomfield",21560
"12","Bolton",4834
"13","Bozrah",2420
"14","Branford",28148
"15","Bridgeport",148377
"16","Bridgewater",1652
"17","Bristol",61330
"18","Brookfield",17543
"19","Brooklyn",8502
"20","Burlington",9710
"21","Canaan",1081
"22","Canterbury",5102
"23","Canton",10091
"24","Chaplin",2156
"25","Cheshire",28994
"26","Chester",3757
"27","Clinton",13399
"28","Colchester",15572
"29","Colebrook",1369
"30","Columbia",5258
"31","Cornwall",1573
"32","Coventry",12285
"33","Cromwell",14317
"34","Danbury",86967
"35","Darien",21926
"36","Deep River",4445
"37","Derby",12358
"38","Durham",7207
"39","East Granby",5218
"40","East Haddam",8949
"41","East Hampton",12960
"42","East Hartford",50718
"43","East Haven",27682
"44","East Lyme",18788
"45","East Windsor",11176
"46","Eastford",1675
"47","Easton",7630
"48","Ellington",16977
"49","Enfield",41245
"50","Essex",6793
"51","Fairfield",62871
"52","Farmington",26728
"53","Franklin",1881
"54","Glastonbury",35199
"55","Goshen",3203
"56","Granby",11041
"57","Greenwich",63638
"58","Griswold",11509
"59","Groton",37743
"60","Guilford",22019
"61","Haddam",8670
"62","Hamden",60809
"63","Hampton",1738
"64","Hartford",120686
"65","Hartland",1908
"66","Harwinton",5562
"67","Hebron",9121
"68","Kent",3051
"69","Killingly",17837
"70","Killingworth",6239
"71","Lebanon",7132
"72","Ledyard",15456
"73","Lisbon",4242
"74","Litchfield",8279
"75","Lyme",2401
"76","Madison",17565
"77","Manchester",59461
"78","Mansfield",31949
"79","Marlborough",6109
"80","Meriden",60242
"81","Middlebury",7807
"82","Middlefield",4248
"83","Middletown",48729
"84","Milford",52679
"85","Monroe",18796
"86","Montville",17891
"87","Morris",2267
"88","Naugatuck",31705
"89","New Britain",74396
"90","New Canaan",20775
"91","New Fairfield",13536
"92","New Hartford",6698
"93","New Haven",138915
"94","New London",27980
"95","New Milford",28275
"96","Newington",30356
"97","Newtown",27577
"98","Norfolk",1594
"99","North Branford",13464
"100","North Canaan",3209
"101","North Haven",24114
"102","North Stonington",5174
"103","Norwalk",91401
"104","Norwich",40009
"105","Old Lyme",7684
"106","Old Saybrook",10535
"107","Orange",14258
"108","Oxford",12941
"109","Plainfield",15143
"110","Plainville",17479
"111","Plymouth",11711
"112","Pomfret",4307
"113","Portland",9429
"114","Preston",4840
"115","Prospect",9435
"116","Putnam",9302
"117","Redding",8746
"118","Ridgefield",25007
"119","Rocky Hill",20712
"120","Roxbury",2279
"121","Salem",4326
"122","Salisbury",4239
"123","Scotland",1577
"124","Seymour",16809
"125","Sharon",2724
"126","Shelton",41897
"127","Sherman",3537
"128","Simsbury",24935
"129","Somers",9843
"130","South Windsor",26783
"131","Southbury",19979
"132","Southington",43753
"133","Sprague",2958
"134","Stafford",11449
"135","Stamford",136188
"136","Sterling",3623
"137","Stonington",18480
"138","Stratford",52477
"139","Suffield",15731
"140","Thomaston",7468
"141","Thompson",9315
"142","Tolland",14577
"143","Torrington",35563
"144","Trumbull",37135
"145","Union",793
"146","Vernon",30625
"147","Voluntown",2592
"148","Wallingford",44017
"149","Warren",1352
"150","Washington",3666
"151","Waterbury",115016
"152","Waterford",19603
"153","Watertown",22183
"154","West Hartford",64271
"155","West Haven",55004
"156","Westbrook",6860
"157","Weston",10354
"158","Westport",27427
"159","Wethersfield",27129
"160","Willington",5544
"161","Wilton",18457
"162","Winchester",10240
"163","Windham",24399
"164","Windsor",29453
"165","Windsor Locks",12537
"166","Wolcott",16190
"167","Woodbridge",9051
"168","Woodbury",9802
"169","Woodstock",8312
