"","Town","Pop","X","X.1"
"1","Andover",3144,NA,NA
"2","Ansonia",19008,NA,NA
"3","Ashford",4229,NA,NA
"4","Avon",18883,NA,NA
"5","Barkhamsted",3677,NA,NA
"6","Beacon Falls",6206,NA,NA
"7","Berlin",20429,NA,NA
"8","Bethany",5271,NA,NA
"9","Bethel",20678,NA,NA
"10","Bethlehem",3421,NA,NA
"11","Bloomfield",21884,NA,NA
"12","Bolton",4834,NA,NA
"13","Bozrah",2412,NA,NA
"14","Branford",28031,NA,NA
"15","Bridgeport",148028,NA,NA
"16","Bridgewater",1646,NA,NA
"17","Bristol",61601,NA,NA
"18","Brookfield",17489,NA,NA
"19","Brooklyn",8612,NA,NA
"20","Burlington",9746,NA,NA
"21","Canaan",1082,NA,NA
"22","Canterbury",5140,NA,NA
"23","Canton",10146,NA,NA
"24","Chaplin",2157,NA,NA
"25","Cheshire",29200,NA,NA
"26","Chester",3761,NA,NA
"27","Clinton",13402,NA,NA
"28","Colchester",15504,NA,NA
"29","Colebrook",1368,NA,NA
"30","Columbia",5268,NA,NA
"31","Cornwall",1575,NA,NA
"32","Coventry",12308,NA,NA
"33","Cromwell",14363,NA,NA
"34","Danbury",86124,NA,NA
"35","Darien",22020,NA,NA
"36","Deep River",4454,NA,NA
"37","Derby",12406,NA,NA
"38","Durham",7204,NA,NA
"39","East Granby",5218,NA,NA
"40","East Haddam",8987,NA,NA
"41","East Hampton",12989,NA,NA
"42","East Hartford",50654,NA,NA
"43","East Haven",27533,NA,NA
"44","East Lyme",18929,NA,NA
"45","East Windsor",11170,NA,NA
"46","Eastford",1689,NA,NA
"47","Easton",7636,NA,NA
"48","Ellington",16994,NA,NA
"49","Enfield",40792,NA,NA
"50","Essex",6802,NA,NA
"51","Fairfield",63433,NA,NA
"52","Farmington",26798,NA,NA
"53","Franklin",1891,NA,NA
"54","Glastonbury",35204,NA,NA
"55","Goshen",3232,NA,NA
"56","Granby",11249,NA,NA
"57","Greenwich",63574,NA,NA
"58","Griswold",11624,NA,NA
"59","Groton",37878,NA,NA
"60","Guilford",22020,NA,NA
"61","Haddam",8773,NA,NA
"62","Hamden",60014,NA,NA
"63","Hampton",1740,NA,NA
"64","Hartford",119669,NA,NA
"65","Hartland",1912,NA,NA
"66","Harwinton",5612,NA,NA
"67","Hebron",9146,NA,NA
"68","Kent",3066,NA,NA
"69","Killingly",17945,NA,NA
"70","Killingworth",6254,NA,NA
"71","Lebanon",7108,NA,NA
"72","Ledyard",15459,NA,NA
"73","Lisbon",4228,NA,NA
"74","Litchfield",8293,NA,NA
"75","Lyme",2409,NA,NA
"76","Madison",17498,NA,NA
"77","Manchester",59408,NA,NA
"78","Mansfield",25401,NA,NA
"79","Marlborough",6106,NA,NA
"80","Meriden",60111,NA,NA
"81","Middlebury",7936,NA,NA
"82","Middlefield",4257,NA,NA
"83","Middletown",47984,NA,NA
"84","Milford",52793,NA,NA
"85","Monroe",18831,NA,NA
"86","Montville",17814,NA,NA
"87","Morris",2272,NA,NA
"88","Naugatuck",31820,NA,NA
"89","New Britain",74080,NA,NA
"90","New Canaan",20862,NA,NA
"91","New Fairfield",13487,NA,NA
"92","New Hartford",6709,NA,NA
"93","New Haven",135319,NA,NA
"94","New London",27560,NA,NA
"95","New Milford",28276,NA,NA
"96","Newington",31227,NA,NA
"97","Newtown",27673,NA,NA
"98","Norfolk",1596,NA,NA
"99","North Branford",13415,NA,NA
"100","North Canaan",3204,NA,NA
"101","North Haven",24295,NA,NA
"102","North Stonington",5165,NA,NA
"103","Norwalk",92458,NA,NA
"104","Norwich",39881,NA,NA
"105","Old Lyme",7696,NA,NA
"106","Old Saybrook",10571,NA,NA
"107","Orange",14322,NA,NA
"108","Oxford",13125,NA,NA
"109","Plainfield",15193,NA,NA
"110","Plainville",17491,NA,NA
"111","Plymouth",11766,NA,NA
"112","Pomfret",4313,NA,NA
"113","Portland",9428,NA,NA
"114","Preston",4829,NA,NA
"115","Prospect",9479,NA,NA
"116","Putnam",9312,NA,NA
"117","Redding",8719,NA,NA
"118","Ridgefield",24931,NA,NA
"119","Rocky Hill",20708,NA,NA
"120","Roxbury",2297,NA,NA
"121","Salem",4319,NA,NA
"122","Salisbury",4240,NA,NA
"123","Scotland",1578,NA,NA
"124","Seymour",16953,NA,NA
"125","Sharon",2744,NA,NA
"126","Shelton",42144,NA,NA
"127","Sherman",3530,NA,NA
"128","Simsbury",24953,NA,NA
"129","Somers",10725,NA,NA
"130","South Windsor",26773,NA,NA
"131","Southbury",20127,NA,NA
"132","Southington",43743,NA,NA
"133","Sprague",2940,NA,NA
"134","Stafford",11567,NA,NA
"135","Stamford",136226,NA,NA
"136","Sterling",3644,NA,NA
"137","Stonington",18431,NA,NA
